Text name: results/ant_ppo_headingCoef1e-04_maxSec6_batchSize100.txt
[53/10000](#total:5400) sumRwd:[-54.480](cntct:-0.046+ctrl:-86.298+fwd:1.333+head:-16.259+srv:46.790) tickAvg:[46]
  [eval] sumRwd:[-66.553](cntct:-0.050+ctrl:-96.275+fwd:2.482+head:-25.040+srv:52.330) tickAvg:[52]
[54/10000](#total:5500) sumRwd:[-53.347](cntct:-0.044+ctrl:-83.614+fwd:0.151+head:-16.190+srv:46.350) tickAvg:[46]
  [eval] sumRwd:[-68.443](cntct:-0.051+ctrl:-96.830+fwd:0.288+head:-24.960+srv:53.110) tickAvg:[53]
[55/10000](#total:5600) sumRwd:[-39.417](cntct:-0.038+ctrl:-70.125+fwd:4.762+head:-12.756+srv:38.740) tickAvg:[38]
  [eval] sumRwd:[-60.116](cntct:-0.047+ctrl:-91.532+fwd:2.154+head:-21.361+srv:50.670) tickAvg:[50]
[56/10000](#total:5700) sumRwd:[-63.677](cntct:-0.048+ctrl:-92.180+fwd:1.074+head:-23.133+srv:50.610) tickAvg:[50]
  [eval] sumRwd:[-50.925](cntct:-0.043+ctrl:-81.230+fwd:1.219+head:-15.511+srv:44.640) tickAvg:[44]
[57/10000](#total:5800) sumRwd:[-65.352](cntct:-0.053+ctrl:-97.545+fwd:-0.139+head:-21.135+srv:53.520) tickAvg:[53]
  [eval] sumRwd:[-52.656](cntct:-0.044+ctrl:-82.431+fwd:1.395+head:-16.697+srv:45.120) tickAvg:[45]
[58/10000](#total:5900) sumRwd:[-56.470](cntct:-0.043+ctrl:-81.007+fwd:-1.180+head:-19.269+srv:45.030) tickAvg:[45]
  [eval] sumRwd:[-48.154](cntct:-0.042+ctrl:-82.068+fwd:3.086+head:-14.321+srv:45.190) tickAvg:[45]
[59/10000](#total:6000) sumRwd:[-57.144](cntct:-0.049+ctrl:-88.741+fwd:1.320+head:-18.884+srv:49.210) tickAvg:[49]
  [eval] sumRwd:[-67.040](cntct:-0.048+ctrl:-92.483+fwd:1.151+head:-26.281+srv:50.620) tickAvg:[50]
[60/10000](#total:6100) sumRwd:[-59.737](cntct:-0.046+ctrl:-88.250+fwd:-0.320+head:-19.651+srv:48.530) tickAvg:[48]
  [eval] sumRwd:[-57.642](cntct:-0.045+ctrl:-87.721+fwd:3.623+head:-21.509+srv:48.010) tickAvg:[48]
[61/10000](#total:6200) sumRwd:[-45.125](cntct:-0.041+ctrl:-79.314+fwd:2.997+head:-12.327+srv:43.560) tickAvg:[43]
  [eval] sumRwd:[-62.316](cntct:-0.050+ctrl:-96.695+fwd:1.711+head:-19.933+srv:52.650) tickAvg:[52]
[62/10000](#total:6300) sumRwd:[-42.651](cntct:-0.036+ctrl:-71.178+fwd:2.400+head:-13.237+srv:39.400) tickAvg:[39]
  [eval] sumRwd:[-49.669](cntct:-0.041+ctrl:-82.632+fwd:3.776+head:-16.251+srv:45.480) tickAvg:[45]
[63/10000](#total:6400) sumRwd:[-49.098](cntct:-0.041+ctrl:-76.423+fwd:-0.078+head:-14.636+srv:42.080) tickAvg:[42]
  [eval] sumRwd:[-56.797](cntct:-0.043+ctrl:-78.701+fwd:0.452+head:-21.596+srv:43.090) tickAvg:[43]
[64/10000](#total:6500) sumRwd:[-61.812](cntct:-0.046+ctrl:-90.760+fwd:0.949+head:-22.175+srv:50.220) tickAvg:[50]
  [eval] sumRwd:[-54.444](cntct:-0.043+ctrl:-82.416+fwd:-0.450+head:-16.755+srv:45.220) tickAvg:[45]
[65/10000](#total:6600) sumRwd:[-56.120](cntct:-0.045+ctrl:-85.547+fwd:2.331+head:-19.729+srv:46.870) tickAvg:[46]
  [eval] sumRwd:[-47.382](cntct:-0.041+ctrl:-76.497+fwd:2.307+head:-14.971+srv:41.820) tickAvg:[41]
[66/10000](#total:6700) sumRwd:[-56.919](cntct:-0.048+ctrl:-89.283+fwd:2.671+head:-17.949+srv:47.690) tickAvg:[47]
  [eval] sumRwd:[-52.786](cntct:-0.043+ctrl:-81.813+fwd:1.846+head:-16.946+srv:44.170) tickAvg:[44]
[67/10000](#total:6800) sumRwd:[-45.385](cntct:-0.038+ctrl:-73.431+fwd:2.057+head:-15.371+srv:41.400) tickAvg:[41]
  [eval] sumRwd:[-51.371](cntct:-0.043+ctrl:-83.566+fwd:2.235+head:-15.786+srv:45.790) tickAvg:[45]
[68/10000](#total:6900) sumRwd:[-50.397](cntct:-0.041+ctrl:-77.898+fwd:0.052+head:-15.569+srv:43.060) tickAvg:[43]
  [eval] sumRwd:[-55.849](cntct:-0.041+ctrl:-76.472+fwd:0.184+head:-21.470+srv:41.950) tickAvg:[41]
[69/10000](#total:7000) sumRwd:[-47.916](cntct:-0.038+ctrl:-76.314+fwd:0.474+head:-13.188+srv:41.150) tickAvg:[41]
  [eval] sumRwd:[-46.589](cntct:-0.042+ctrl:-79.707+fwd:5.750+head:-16.140+srv:43.550) tickAvg:[43]
[70/10000](#total:7100) sumRwd:[-80.415](cntct:-0.055+ctrl:-106.572+fwd:-0.426+head:-31.203+srv:57.840) tickAvg:[57]
  [eval] sumRwd:[-51.283](cntct:-0.042+ctrl:-83.589+fwd:2.503+head:-16.786+srv:46.630) tickAvg:[46]
[71/10000](#total:7200) sumRwd:[-54.117](cntct:-0.047+ctrl:-85.751+fwd:3.710+head:-19.418+srv:47.390) tickAvg:[47]
  [eval] sumRwd:[-66.162](cntct:-0.051+ctrl:-97.672+fwd:1.566+head:-22.595+srv:52.590) tickAvg:[52]
[72/10000](#total:7300) sumRwd:[-49.317](cntct:-0.040+ctrl:-75.106+fwd:1.001+head:-17.103+srv:41.930) tickAvg:[41]
  [eval] sumRwd:[-57.925](cntct:-0.047+ctrl:-89.151+fwd:4.749+head:-22.735+srv:49.260) tickAvg:[49]
[73/10000](#total:7400) sumRwd:[-49.689](cntct:-0.042+ctrl:-80.339+fwd:5.006+head:-17.644+srv:43.330) tickAvg:[43]
  [eval] sumRwd:[-52.211](cntct:-0.042+ctrl:-82.495+fwd:0.416+head:-15.930+srv:45.840) tickAvg:[45]
[74/10000](#total:7500) sumRwd:[-55.764](cntct:-0.044+ctrl:-85.964+fwd:3.060+head:-20.166+srv:47.350) tickAvg:[47]
  [eval] sumRwd:[-53.266](cntct:-0.043+ctrl:-82.613+fwd:1.318+head:-17.478+srv:45.550) tickAvg:[45]
[75/10000](#total:7600) sumRwd:[-49.043](cntct:-0.039+ctrl:-78.369+fwd:1.966+head:-15.811+srv:43.210) tickAvg:[43]
  [eval] sumRwd:[-46.924](cntct:-0.040+ctrl:-74.752+fwd:1.150+head:-14.242+srv:40.960) tickAvg:[40]
[76/10000](#total:7700) sumRwd:[-52.276](cntct:-0.043+ctrl:-80.197+fwd:2.646+head:-19.512+srv:44.830) tickAvg:[44]
  [eval] sumRwd:[-61.754](cntct:-0.047+ctrl:-89.834+fwd:1.842+head:-23.145+srv:49.430) tickAvg:[49]
[77/10000](#total:7800) sumRwd:[-65.653](cntct:-0.047+ctrl:-90.821+fwd:-0.460+head:-23.955+srv:49.630) tickAvg:[49]
  [eval] sumRwd:[-52.538](cntct:-0.045+ctrl:-82.937+fwd:2.482+head:-17.318+srv:45.280) tickAvg:[45]
[78/10000](#total:7900) sumRwd:[-47.745](cntct:-0.041+ctrl:-78.269+fwd:1.887+head:-15.293+srv:43.970) tickAvg:[43]
  [eval] sumRwd:[-60.851](cntct:-0.047+ctrl:-90.012+fwd:3.790+head:-23.182+srv:48.600) tickAvg:[48]
[79/10000](#total:8000) sumRwd:[-57.303](cntct:-0.048+ctrl:-89.289+fwd:-0.630+head:-17.207+srv:49.870) tickAvg:[49]
  [eval] sumRwd:[-53.680](cntct:-0.038+ctrl:-75.854+fwd:0.582+head:-20.420+srv:42.050) tickAvg:[42]
[80/10000](#total:8100) sumRwd:[-42.709](cntct:-0.040+ctrl:-76.652+fwd:5.078+head:-13.776+srv:42.680) tickAvg:[42]
  [eval] sumRwd:[-46.566](cntct:-0.040+ctrl:-74.924+fwd:2.359+head:-15.250+srv:41.290) tickAvg:[41]
[81/10000](#total:8200) sumRwd:[-53.218](cntct:-0.040+ctrl:-80.772+fwd:2.552+head:-19.197+srv:44.240) tickAvg:[44]
  [eval] sumRwd:[-49.583](cntct:-0.041+ctrl:-80.625+fwd:2.158+head:-15.165+srv:44.090) tickAvg:[44]
[82/10000](#total:8300) sumRwd:[-50.989](cntct:-0.043+ctrl:-81.759+fwd:2.364+head:-17.701+srv:46.150) tickAvg:[46]
  [eval] sumRwd:[-49.018](cntct:-0.040+ctrl:-77.795+fwd:5.365+head:-19.668+srv:43.120) tickAvg:[43]
[83/10000](#total:8400) sumRwd:[-51.000](cntct:-0.044+ctrl:-81.450+fwd:2.267+head:-17.103+srv:45.330) tickAvg:[45]
  [eval] sumRwd:[-38.854](cntct:-0.037+ctrl:-70.060+fwd:2.947+head:-10.244+srv:38.540) tickAvg:[38]
[84/10000](#total:8500) sumRwd:[-51.558](cntct:-0.044+ctrl:-83.323+fwd:2.460+head:-16.351+srv:45.700) tickAvg:[45]
  [eval] sumRwd:[-46.276](cntct:-0.040+ctrl:-74.819+fwd:3.863+head:-17.280+srv:42.000) tickAvg:[42]
[85/10000](#total:8600) sumRwd:[-44.049](cntct:-0.038+ctrl:-71.799+fwd:1.301+head:-13.124+srv:39.610) tickAvg:[39]
  [eval] sumRwd:[-52.990](cntct:-0.044+ctrl:-83.373+fwd:2.651+head:-17.933+srv:45.710) tickAvg:[45]
[86/10000](#total:8700) sumRwd:[-47.368](cntct:-0.041+ctrl:-77.297+fwd:2.873+head:-15.733+srv:42.830) tickAvg:[42]
  [eval] sumRwd:[-36.919](cntct:-0.035+ctrl:-67.667+fwd:3.365+head:-10.052+srv:37.470) tickAvg:[37]
[87/10000](#total:8800) sumRwd:[-44.433](cntct:-0.043+ctrl:-80.953+fwd:5.709+head:-14.506+srv:45.360) tickAvg:[45]
  [eval] sumRwd:[-43.568](cntct:-0.036+ctrl:-68.584+fwd:1.504+head:-14.821+srv:38.370) tickAvg:[38]
[88/10000](#total:8900) sumRwd:[-34.722](cntct:-0.034+ctrl:-64.741+fwd:2.934+head:-8.501+srv:35.620) tickAvg:[35]
  [eval] sumRwd:[-42.955](cntct:-0.037+ctrl:-71.136+fwd:3.417+head:-14.199+srv:39.000) tickAvg:[39]
[89/10000](#total:9000) sumRwd:[-55.894](cntct:-0.042+ctrl:-79.621+fwd:0.563+head:-20.274+srv:43.480) tickAvg:[43]
  [eval] sumRwd:[-51.674](cntct:-0.039+ctrl:-76.464+fwd:3.818+head:-20.099+srv:41.110) tickAvg:[41]
[90/10000](#total:9100) sumRwd:[-62.538](cntct:-0.048+ctrl:-90.154+fwd:2.652+head:-23.748+srv:48.760) tickAvg:[48]
  [eval] sumRwd:[-40.303](cntct:-0.034+ctrl:-65.235+fwd:1.875+head:-12.889+srv:35.980) tickAvg:[35]
[91/10000](#total:9200) sumRwd:[-53.298](cntct:-0.040+ctrl:-77.066+fwd:0.630+head:-18.742+srv:41.920) tickAvg:[41]
  [eval] sumRwd:[-48.407](cntct:-0.042+ctrl:-85.494+fwd:4.869+head:-14.289+srv:46.550) tickAvg:[46]
[92/10000](#total:9300) sumRwd:[-45.260](cntct:-0.036+ctrl:-72.644+fwd:0.497+head:-12.528+srv:39.450) tickAvg:[39]
  [eval] sumRwd:[-37.409](cntct:-0.034+ctrl:-67.422+fwd:3.411+head:-10.094+srv:36.730) tickAvg:[36]
[93/10000](#total:9400) sumRwd:[-48.975](cntct:-0.040+ctrl:-77.023+fwd:2.038+head:-14.691+srv:40.740) tickAvg:[40]
  [eval] sumRwd:[-49.029](cntct:-0.039+ctrl:-75.450+fwd:1.542+head:-16.993+srv:41.910) tickAvg:[41]
[94/10000](#total:9500) sumRwd:[-46.084](cntct:-0.037+ctrl:-75.229+fwd:2.048+head:-14.326+srv:41.460) tickAvg:[41]
  [eval] sumRwd:[-51.653](cntct:-0.042+ctrl:-81.192+fwd:1.990+head:-16.159+srv:43.750) tickAvg:[43]
[95/10000](#total:9600) sumRwd:[-51.295](cntct:-0.040+ctrl:-79.184+fwd:2.188+head:-17.359+srv:43.100) tickAvg:[43]
  [eval] sumRwd:[-53.761](cntct:-0.042+ctrl:-79.566+fwd:3.230+head:-20.713+srv:43.330) tickAvg:[43]
[96/10000](#total:9700) sumRwd:[-43.644](cntct:-0.037+ctrl:-69.971+fwd:3.259+head:-15.235+srv:38.340) tickAvg:[38]
